Own BIC,Correspondent,R. Status,R. Restr.,S. Status,S. Restr.,Correspondent Name
MHCBINBB,ANZBAU2S,Enabled," ",Enabled," ",
MHCBINBB,ANZBAU3M,Enabled," ",Enabled," ",AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
MHCBINBB,ANZBAU6P," "," ",Enabled," ",
MHCBINBB,ANZBGB2L,Enabled," ",Enabled," ",AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
MHCBINBB,ANZBIDJX,Enabled," ",Enabled,*,"BANK ANZ INDONESIA, P.T."
MHCBINBB,ANZBLALA,Enabled," ",Enabled," ",ANZ BANK (LAO) LIMITED
MHCBINBB,ANZBNZ22,Enabled," ",Enabled," ",ANZ BANK NEW ZEALAND LIMITED
MHCBINBB,ARABAEAD,Enabled," ",Enabled," ",ARAB BANK PLC
MHCBINBB,ARABJOAX,Enabled," ",Enabled," ",ARAB BANK PLC
MHCBINBB,ARABMAMC,Enabled," "," "," ",ARAB BANK PLC.
MHCBINBB,ARABQAQA,Enabled," "," "," ",ARAB BANK PLC
MHCBINBB,ARAIEGCX,Enabled," ",Enabled," ",ARAB AFRICAN INTERNATIONAL BANK
MHCBINBB,ASDBPHMM,Enabled," ",Enabled," ",ASIAN DEVELOPMENT BANK
MHCBINBB,ASIKJPJT,Enabled," ",Enabled," ",ASHIKAGA BANK
MHCBINBB,ASKBJPJT,Enabled," ",Enabled," ","ASAHI SHINKIN BANK, THE"
MHCBINBB,AWINETAA,Enabled," ",Enabled," ",AWASH INTERNATIONAL BANK S.C.
MHCBINBB,AXISAEAD,Enabled," ",Enabled," ","AXIS BANK LIMITED, DIFC BRANCH (REGULATED BY DFSA)"
MHCBINBB,AXISCNSH,Enabled," ",Enabled," ",AXIS BANK LIMITED SHANGHAI BRANCH
MHCBINBB,AXISHKHH,Enabled," ",Enabled," ",AXIS BANK LIMITED
MHCBINBB,AXISINBB,Enabled," ",Enabled," ",AXIS BANK LIMITED
MHCBINBB,AXISLKLX,Enabled," ",Enabled," ",AXIS BANK LTD.
MHCBINBB,AXISSGSG,Enabled," ",Enabled," ",AXIS BANK LIMITED
MHCBINBB,AYUDTHBK,Enabled," ",Enabled," ",BANK OF AYUDHYA PUBLIC COMPANY LIMITED
MHCBINBB,BACRIT22,Rejected," ",Revoked," ",CREDITO EMILIANO S.P.A.
MHCBINBB,BACXHUHB," "," ",Revoked," ",UNICREDIT BANK HUNGARY ZRT.
MHCBINBB,BACXSI22,Rejected," ",Revoked," ",UNICREDIT BANKA SLOVENIJA D.D.
MHCBINBB,BAHLPKKA,Rejected," ",Enabled," ",BANK AL HABIB LIMITED
MHCBINBB,BAPPIT22,Rejected," ",Revoked," ",BANCO BPM SPA
MHCBINBB,BARBAU2S,Enabled," ",Revoked," ",BANK OF BARODA
MHCBINBB,BARBUGKA,Enabled," "," "," ",BANK OF BARODA (UGANDA) LIMITED
MHCBINBB,BARBUS33,Enabled," ",Enabled," ",BANK OF BARODA
MHCBINBB,BARCDEFF,Enabled," ",Enabled," ",BARCLAYS BANK IRELAND PLC FRANKFURT BRANCH
MHCBINBB,BARCGB22,Enabled," ",Enabled," ",BARCLAYS BANK PLC
MHCBINBB,BARCGHAC,Enabled," ",Enabled," ",BARCLAYS BANK OF GHANA LTD.
MHCBINBB,BARCMUMU,Rejected," ",Revoked," ",BARCLAYS BANK MAURITIUS LTD
MHCBINBB,BARCUS33,Enabled," ",Enabled," ",BARCLAYS BANK PLC
MHCBINBB,BATRLV2X,Enabled," "," "," ",
MHCBINBB,BBBKTWTP,Enabled," ",Enabled," ",BANK OF PANHSIN
MHCBINBB,BBDEBRSP,Enabled," "," "," ",BANCO BRADESCO S.A.
MHCBINBB,BBKUBHBM,Enabled," ",Enabled," ",BBK
MHCBINBB,BBMEAEAD,Rejected," ",Revoked," ",HSBC BANK MIDDLE EAST LIMITED
MHCBINBB,BBMEBHBX,Rejected," ",Revoked," ",HSBC BANK MIDDLE EAST LIMITED
MHCBINBB,BBMEJOAX," "," ",Revoked," ",
MHCBINBB,BBMELBBX," "," ",Revoked," ",
MHCBINBB,BBMEOMRX,Rejected," "," "," ",HSBC BANK OMAN S.A.O.G
MHCBINBB,BBMEQAQX,Rejected," ",Revoked," ",HSBC BANK MIDDLE EAST LIMITED
MHCBINBB,BBOLECEG,Enabled," ",Enabled," ",BANCO BOLIVARIANO C.A.
MHCBINBB,BBRUBEBB," "," ",Enabled," ","ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA), BRUSSELS"
MHCBINBB,BBUKIDJA,Enabled," ",Enabled," ","PT. BANK BUKOPIN, TBK"
MHCBINBB,BBVAESMM,Enabled," ",Enabled," ",BANCO BILBAO VIZCAYA ARGENTARIA S.A.
MHCBINBB,BBVAFRPP,Enabled," ",Enabled," ",BANCO BILBAO VIZCAYA ARGENTARIA
MHCBINBB,BBVAGB2L,Enabled," ",Enabled," ",BANCO BILBAO VIZCAYA ARGENTARIA S.A.
MHCBINBB,BBVAHKHH,Enabled," ",Enabled," ","BANCO BILBAO VIZCAYA ARGENTARIA, S.A., HONG KONG BRANCH"
MHCBINBB,BBVAITMM,Enabled," ",Enabled," ",BANCO BILBAO VIZCAYA ARGENTARIA S.A.
MHCBINBB,BBVAJPJT,Enabled," ",Enabled," ",BANCO BILBAO VIZCAYA ARGENTARIA TOKYO BRANCH
MHCBINBB,BBVAPTPL,Enabled," ",Enabled," ","BANCO BILBAO VIZCAYA ARGENTARIA S.A., SUCURSAL EM PORTUGAL"
MHCBINBB,BBVASGSG,Enabled," ",Enabled," ",BANCO BILBAO VIZCAYA ARGENTARIA SINGAPORE BRANCH
MHCBINBB,BCBBKYKY,Rejected," ",Revoked," ",BANCO BRADESCO S.A. - GRAND CAYMAN (FORMERLY KIRTON BANK BRASIL S.A. - GRAND CAYMAN BRANCH)
MHCBINBB,BCBIEGCX,Revoked," ",Revoked," ",ATTIJARIWAFA BANK EGYPT S.A.E
MHCBINBB,BCCTIT2T,Enabled," ",Enabled," ",
MHCBINBB,BCEELULL,Rejected," ",Revoked," ",BANQUE ET CAISSE D'EPARGNE DE L'ETAT
MHCBINBB,BCEYIN5M,Enabled," ",Enabled," ",BANK OF CEYLON
MHCBINBB,BCEYLKLX,Enabled," ",Enabled," ",BANK OF CEYLON
MHCBINBB,BCHICLRM,Rejected," "," "," ",BANCO DE CHILE
MHCBINBB,BCITITMM,Enabled," ",Enabled," ",INTESA SANPAOLO SPA
MHCBINBB,BCMAMAMC,Enabled," ",Enabled," ",ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC)
MHCBINBB,BCONPEPL,Enabled," ",Enabled," ",BBVA BANCO CONTINENTAL
MHCBINBB,BCPOMAMC,Enabled," "," "," ",BANQUE CENTRALE POPULAIRE
MHCBINBB,BCYPCY2N,Rejected," ",Revoked," ",BANK OF CYPRUS PUBLIC COMPANY LIMITED
MHCBINBB,BECHCLRM,Enabled," ",Enabled," ",BANCO DEL ESTADO DE CHILE
